tulo/meno,momenttitaso,momenttinumerot,linkki,1.momentti,2.momentti,3.momentti,nimi,poistettava momentti,numero,Lib budjetti,Leikattavaa momentista,Liikennevalo,Perustelu,suhdeluku leikkauksiin,Leikkausten kategorisointi
tulo,0,10.,,Tuloarvioiden kokonaismäärä,,,,,90 305 736 000,77 752 965 150,−12 552 770 850,Tärkeä / Tehokas,,"−13,90%",
tulo,1,11.,https://budjetti.vm.fi/indox/sisalto.jsp?year=2026&lang=fi&maindoc=/2026/tae/hallituksenEsitys/hallituksenEsitys.xml&id=/2026/tae/hallituksenEsitys/YksityiskohtaisetPerustelut/11/11.html,11. VEROT JA VERONLUONTEISET TULOT,,,11. VEROT JA VERONLUONTEISET TULOT,,68 249 709 000,65 727 008 750,−2 522 700 250,Tärkeä / Tehokas,,"−3,70%",
tulo,2,11.01.,https://budjetti.vm.fi/indox/sisalto.jsp?year=2026&lang=fi&maindoc=/2026/tae/hallituksenEsitys/hallituksenEsitys.xml&id=/2026/tae/hallituksenEsitys/YksityiskohtaisetPerustelut/11/01/01.html,11. VEROT JA VERONLUONTEISET TULOT,01. Tulon ja varallisuuden perusteella kannettavat verot,,01. Tulon ja varallisuuden perusteella kannettavat verot,,33 643 000 000,26 848 749 650,−6 794 250 350,Liikkumavaraa,,"−20,20%",
tulo,3,11.01.01.,https://budjetti.vm.fi/indox/sisalto.jsp?year=2026&lang=fi&maindoc=/2026/tae/hallituksenEsitys/hallituksenEsitys.xml&id=/2026/tae/hallituksenEsitys/YksityiskohtaisetPerustelut/11/01/01/01.html,11. VEROT JA VERONLUONTEISET TULOT,01. Tulon ja varallisuuden perusteella kannettavat verot,01. Ansio- ja pääomatuloverot,01. Ansio- ja pääomatuloverot,,26 480 000 000,20 535 749 650,−5 944 250 350,Leikataan / Tehoton,,"−22,45%",
tulo,4,11.01.01.01.,https://budjetti.vm.fi/indox/sisalto.jsp?year=2026&lang=fi&maindoc=/2026/tae/hallituksenEsitys/hallituksenEsitys.xml&id=/2026/tae/hallituksenEsitys/YksityiskohtaisetPerustelut/11/01/01/01.html,11. VEROT JA VERONLUONTEISET TULOT,01. Tulon ja varallisuuden perusteella kannettavat verot,01.01. Progressiivinen tulovero,01.01. Progressiivinen tulovero,,21 461 000 000,13 612 551 650,−7 848 448 350,Leikataan / Tehoton,"Liberaalipuolue ajaa verotuksen yksinkertaistamista ja työn verotuksen madaltamista. Valtion progressiivisen tuloveron keräämistä vähennetään yhteensä 7,848 miljardia, eli 36,5 %, ja se kohdennetaan työtulovähennykseen. Palkkatulojen ansiotuloveroja lasketaan 5,1 miljardilla ja poistamalla 2,7139 miljardia eli kymmenys hyvinvointialueiden kustannuksista. Hyvinvointialueille myönnetään vastaavasti verotusoikeus. Tämä kannustaa kustannusten hillitsemiseen ja asiakasmaksujen korottamiseen alueilla, mutta mikäli näin ei käy, niin progressiivinen tuloverotus ei kiristy hyvinvointialueiden epäonnistumisen vuoksi. Lisäksi verotuksen yksinkertaistamiseksi tehdään 4,7 miljardia poistoja erilaisiin tuloveron verovähennyksiin ja kohdistetaan ne pelkästään työtulovähennykseen. Tämä koskee seuraavia: Perutaan Eläketulon lisäveron lieventäminen 59000000 €. Poistetaan eläketulovähennys 2345000000 €. Poistetaan kotitalousvähennys 360000000 €, Poistetaan lapsilisien verovapaus 480000000 €. Poistetaan Yrittäjävähennys 135000000 €. Muut 348000000 €. Poistetaan ateriaedun osittainen verovapaus työntekijän verotuksessa 60000000 €. Poistetaan matkakulujen vähennys arviolta 1879240753*0,48 mediaani matkakulujen vähentäjän 48 % marginaaliveroasteella noin 902000000 €. Näistä kertyy yhteensä 4,689 mrd€ joka kohdennetaan työtulovähennykseen. Vuosien saatossa tehtyjä veropohjan reikiä tulee poistaa.","−36,57%",
tulo,4,11.01.01.02.,https://budjetti.vm.fi/indox/sisalto.jsp?year=2026&lang=fi&maindoc=/2026/tae/hallituksenEsitys/hallituksenEsitys.xml&id=/2026/tae/hallituksenEsitys/YksityiskohtaisetPerustelut/11/01/01/01.html,11. VEROT JA VERONLUONTEISET TULOT,01. Tulon ja varallisuuden perusteella kannettavat verot,01.02. Pääomatulovero,01.02. Pääomatulovero,,3 823 000 000,6 426 000 000,2 603 000 000,Tärkeä / Tehokas,"Poistetaan Oman asunnon myyntivoiton verovapaus tai myyntitappion verovähennyskelvottomuus jonka suuruusluokka-arvio on 2500000000 €. Perintöverosta luopumisen myötä luovutusvoittoveron kertymä kasvaa 90000000 € Nämä käytetään progressiivisen tuloveron laskemiseen. Lisäksi Listaamattomien yhtiöiden osinkojen markkinakorkoa suurempi tuottoprosentti 550000000 € ja alennetaan sillä yleistä pääomatuloverokantaa, mikä ei näy momentin kokonaiskertymässä.","68,09%",
tulo,4,11.01.01.03.,https://budjetti.vm.fi/indox/sisalto.jsp?year=2026&lang=fi&maindoc=/2026/tae/hallituksenEsitys/hallituksenEsitys.xml&id=/2026/tae/hallituksenEsitys/YksityiskohtaisetPerustelut/11/01/01/01.html,11. VEROT JA VERONLUONTEISET TULOT,01. Tulon ja varallisuuden perusteella kannettavat verot,01.03. Rajoitetusti verovelvollisten maksama lähdevero,01.03. Rajoitetusti verovelvollisten maksama lähdevero,,569 000 000,422 198 000,−146 802 000,Leikataan / Tehoton,Lasketaan ulkomailla asuvien Suomen verotuksessa maksettavia veroja samassa suhteessa kuin 11.01.01.01. momenttia.,"−25,80%",
tulo,4,11.01.01.04.,https://budjetti.vm.fi/indox/sisalto.jsp?year=2026&lang=fi&maindoc=/2026/tae/hallituksenEsitys/hallituksenEsitys.xml&id=/2026/tae/hallituksenEsitys/YksityiskohtaisetPerustelut/11/01/01/01.html,11. VEROT JA VERONLUONTEISET TULOT,01. Tulon ja varallisuuden perusteella kannettavat verot,01.04. Eri verovuosilta maksuunpantujen verojen tilitys,01.04. Eri verovuosilta maksuunpantujen verojen tilitys,,75 000 000,75 000 000,0,Tärkeä / Tehokas,"Aikaisempien vuosien mätkyt ja muut myöhässä maksetut verot, jotka tuloutuvat seuraavan vuoden aikana. Säilytetään ennallaan, koska Liberaalipuolueen veronalennukset vaikuttavat vain tulevaan verotukseen.","0,00%",
tulo,4,11.01.01.05.,https://budjetti.vm.fi/indox/sisalto.jsp?year=2026&lang=fi&maindoc=/2026/tae/hallituksenEsitys/hallituksenEsitys.xml&id=/2026/tae/hallituksenEsitys/YksityiskohtaisetPerustelut/11/01/01/01.html,11. VEROT JA VERONLUONTEISET TULOT,01. Tulon ja varallisuuden perusteella kannettavat verot,01.05. Yleisradiovero,01.05. Yleisradiovero,,552 000 000,0,−552 000 000,Leikataan / Tehoton,Yleisradioverosta tulee luopua. Yleisradion rahoituksen tulee perustua budjettiin ja sen määrää on tarkasteltava erittäin kriittisesti. Yleisradion on keskityttävä ydintehtäviinsä ja vetäydyttävä kilpailullisilta markkinoilta. Momentissa 31.20.60. esitetään leikkauksia Ylen budjettiin.,"−100,00%",
tulo,3,11.01.02.,https://budjetti.vm.fi/indox/sisalto.jsp?year=2026&lang=fi&maindoc=/2026/tae/hallituksenEsitys/hallituksenEsitys.xml&id=/2026/tae/hallituksenEsitys/YksityiskohtaisetPerustelut/11/01/02/02.html,11. VEROT JA VERONLUONTEISET TULOT,01. Tulon ja varallisuuden perusteella kannettavat verot,02. Yhteisövero,02. Yhteisövero,,5 783 000 000,5 967 000 000,184 000 000,Tärkeä / Tehokas,Yhteisöverotuksessa yrityksen tulosta ei tule verottaa ellei sitä nosteta yrityksestä pois. Arvioon perustuvasta yhteisöveron ennakkomaksusta tulee luopua ja osinkoverotuksen tulee olla yhteneväistä pörssiin listattujen ja listaamattomien yritysten kesken. Yhteisövero tulee pitää kansainvälisesti kilpailukykyisenä. Apteekit sisällytettäisiin yhteisöveron piiriin 219 M€. Yhteisöjen ja yritysten maksama Ylevero 35 M€ poistetaan. Lisäksi poistetaan Käyttöomaisuuteen kuuluvien osakkeiden luovutusvoiton verovapaus 134 M€ (henkilöverotuksessa vastaava on oman asunnon myyntivoiton verovapaus) verotasoa laskemalla.,"3,18%",
tulo,3,11.01.03.,https://budjetti.vm.fi/indox/sisalto.jsp?year=2026&lang=fi&maindoc=/2026/tae/hallituksenEsitys/hallituksenEsitys.xml&id=/2026/tae/hallituksenEsitys/YksityiskohtaisetPerustelut/11/01/03/03.html,11. VEROT JA VERONLUONTEISET TULOT,01. Tulon ja varallisuuden perusteella kannettavat verot,03. Korkotulojen lähdevero,03. Korkotulojen lähdevero,,336 000 000,336 000 000,0,Tärkeä / Tehokas,Pääomatyyppejä kohdellaan jatkossa myös tasapuolisesti,"0,00%",
tulo,3,11.01.04.,https://budjetti.vm.fi/indox/sisalto.jsp?year=2026&lang=fi&maindoc=/2026/tae/hallituksenEsitys/hallituksenEsitys.xml&id=/2026/tae/hallituksenEsitys/YksityiskohtaisetPerustelut/11/01/04/04.html,11. VEROT JA VERONLUONTEISET TULOT,01. Tulon ja varallisuuden perusteella kannettavat verot,04. Perintö- ja lahjavero,04. Perintö- ja lahjavero,,1 034 000 000,0,−1 034 000 000,Leikataan / Tehoton,"Nykyinen perintövero on poistettava. Perintövero vaikeuttaa sukupolvenvaihdoksia. Perintö voi olla jokin vaikeasti rahaksi muutettavassa muodossa, vaikka verot lankeavat maksettavaksi melkein heti. Perintöveron poiston myötä pääomatuloihin kuuluvan luovutusvoittoveron kertymä voisi varovaisesti arvioituna kasvaa perintöveron määrästä kymmenysosan eli noin 103 M€.","−100,00%",
tulo,3,11.01.06.,https://budjetti.vm.fi/indox/sisalto.jsp?year=2026&lang=fi&maindoc=/2026/tae/hallituksenEsitys/hallituksenEsitys.xml&id=/2026/tae/hallituksenEsitys/YksityiskohtaisetPerustelut/11/01/06/06.html,11. VEROT JA VERONLUONTEISET TULOT,01. Tulon ja varallisuuden perusteella kannettavat verot,06. Suurten konsernien täydennysvero,06. Suurten konsernien täydennysvero,lisäys hallituksen esityksessä,10 000 000,10 000 000,0,Tärkeä / Tehokas,Verotuksen tasapuolisuus kansainvälisesti pienille ja suurille yrityksille parantaa markkinoiden toimintaa ja vähentää suurten korporaatioiden valtaa.,"0,00%",
tulo,2,11.04.,https://budjetti.vm.fi/indox/sisalto.jsp?year=2026&lang=fi&maindoc=/2026/tae/hallituksenEsitys/hallituksenEsitys.xml&id=/2026/tae/hallituksenEsitys/YksityiskohtaisetPerustelut/11/04/04.html,11. VEROT JA VERONLUONTEISET TULOT,04. Liikevaihdon perusteella kannettavat verot ja maksut,,04. Liikevaihdon perusteella kannettavat verot ja maksut,,25 053 000 000,28 922 500 000,3 869 500 000,Tärkeä / Tehokas,,"15,45%",
tulo,3,11.04.01.,https://budjetti.vm.fi/indox/sisalto.jsp?year=2026&lang=fi&maindoc=/2026/tae/hallituksenEsitys/hallituksenEsitys.xml&id=/2026/tae/hallituksenEsitys/YksityiskohtaisetPerustelut/11/04/01/01.html,11. VEROT JA VERONLUONTEISET TULOT,04. Liikevaihdon perusteella kannettavat verot ja maksut,01. Arvonlisävero,01. Arvonlisävero,,23 736 000 000,27 821 500 000,4 085 500 000,Tärkeä / Tehokas,"Yhtenäistetään arvonlisäverokanta ja poistetaan sen kaikki alennetut kannat, ja tällä summalla alennetaan ansiotuloveroa.","17,21%",
tulo,3,11.04.02.,https://budjetti.vm.fi/indox/sisalto.jsp?year=2026&lang=fi&maindoc=/2026/tae/hallituksenEsitys/hallituksenEsitys.xml&id=/2026/tae/hallituksenEsitys/YksityiskohtaisetPerustelut/11/04/02/02.html,11. VEROT JA VERONLUONTEISET TULOT,04. Liikevaihdon perusteella kannettavat verot ja maksut,02. Eräistä vakuutusmaksuista suoritettava vero,02. Eräistä vakuutusmaksuista suoritettava vero,,1 098 000 000,1 101 000 000,3 000 000,Tärkeä / Tehokas,Poistetaan 3M€ satovahinko- kasvintuhooja- ja eläintautivakuutusten verovapaus.,"0,27%",
tulo,3,11.04.03.,https://budjetti.vm.fi/indox/sisalto.jsp?year=2026&lang=fi&maindoc=/2026/tae/hallituksenEsitys/hallituksenEsitys.xml&id=/2026/tae/hallituksenEsitys/YksityiskohtaisetPerustelut/11/04/03/03.html,11. VEROT JA VERONLUONTEISET TULOT,04. Liikevaihdon perusteella kannettavat verot ja maksut,03. Apteekkivero,03. Apteekkivero,,219 000 000,0,−219 000 000,Leikataan / Tehoton,Apteekkimonopoli murretaan ja apteekeista tulee normaalia liiketoimintaa. Tätä vastaava summa siirretään yhteisöverokertymään.,"−100,00%",
tulo,2,11.08.,https://budjetti.vm.fi/indox/sisalto.jsp?year=2026&lang=fi&maindoc=/2026/tae/hallituksenEsitys/hallituksenEsitys.xml&id=/2026/tae/hallituksenEsitys/YksityiskohtaisetPerustelut/11/08/08.html,11. VEROT JA VERONLUONTEISET TULOT,08. Haitta- ja valmisteverot,,08. Valmisteverot,,6 666 000 000,9 318 500 000,2 652 500 000,Tärkeä / Tehokas,"Verotuksen painopistettä tulee siirtää haittojen ja kulutuksen verotukseen Liberaalipuolueen mielestä. Valmisteverojen momentti nimetään uudestaan Haitta- ja valmisteveroiksi, jotta verotuksen tavoite tulee selkeämmin esiin.","39,79%",
tulo,3,11.08.01.,https://budjetti.vm.fi/indox/sisalto.jsp?year=2026&lang=fi&maindoc=/2026/tae/hallituksenEsitys/hallituksenEsitys.xml&id=/2026/tae/hallituksenEsitys/YksityiskohtaisetPerustelut/11/08/01/01.html,11. VEROT JA VERONLUONTEISET TULOT,08. Haitta- ja valmisteverot,01. Tupakkavero,01. Tupakkavero,,1 115 000 000,1 215 000 000,100 000 000,Tärkeä / Tehokas,"Nuuskan myynnin laillistaminen, jota Liberaalipuolue kannattaa, tuo lisäverotuloja tupakkaveroon valmisteveroyksikön arvion perusteella 100 M€. Tupakkaveroa korotetaan jo eduskunnan 2024 päätöksellä 2026 ja 2027.","8,97%",
tulo,3,11.08.04.,https://budjetti.vm.fi/indox/sisalto.jsp?year=2026&lang=fi&maindoc=/2026/tae/hallituksenEsitys/hallituksenEsitys.xml&id=/2026/tae/hallituksenEsitys/YksityiskohtaisetPerustelut/11/08/04/04.html,11. VEROT JA VERONLUONTEISET TULOT,08. Haitta- ja valmisteverot,04. Alkoholijuomavero,04. Alkoholijuomavero,,1 447 000 000,1 517 000 000,70 000 000,Tärkeä / Tehokas,"Verotuksen painotus siirretään haittaverotukseen. Väkevän alkoholin (>22 %) verotusta tulee nostaa hieman, eli kymmenyksellä noin 53 M€. Pienpanimoiden 17 M€ verohuojennus poistetaan.","4,84%",
tulo,3,11.08.05.,https://budjetti.vm.fi/indox/sisalto.jsp?year=2026&lang=fi&maindoc=/2026/tae/hallituksenEsitys/hallituksenEsitys.xml&id=/2026/tae/hallituksenEsitys/YksityiskohtaisetPerustelut/11/08/05/05.html,11. VEROT JA VERONLUONTEISET TULOT,08. Haitta- ja valmisteverot,05. Virvoitusjuomavero,05. Virvoitusjuomavero,,309 000 000,309 500 000,500 000,Tärkeä / Tehokas,"Virvoitusjuomaveron poikkeukset poistetaan ja näin yksinkertaistetaan verotusta. VM:n arvion mukaan näistä tulee noin 0,5 M€.","0,16%",
tulo,3,11.08.07.,https://budjetti.vm.fi/indox/sisalto.jsp?year=2026&lang=fi&maindoc=/2026/tae/hallituksenEsitys/hallituksenEsitys.xml&id=/2026/tae/hallituksenEsitys/YksityiskohtaisetPerustelut/11/08/07/07.html,11. VEROT JA VERONLUONTEISET TULOT,08. Haitta- ja valmisteverot,07. Energiaverot,07. Energiaverot,,3 780 000 000,5 639 000 000,1 859 000 000,Tärkeä / Tehokas,"Autoveron 270 M€ ja ajoneuvoveron 1016 M€ poisto kompensoidaan vastaavalla energiaverojen nostolla. Haittoja tulee jatkossa verottaa enemmän. Lisäksi energiaverosta poistetaan seuraavia päästöjä aiheuttavia verotukia: Turpeen alempi verokanta 32 M€, Turpeen verottoman käytön yläraja 46 M€, Puupohjaisten polttoaineiden verottomuus 440 M€, Jätteenpolton verottomuus 34 M€, CHP-laitosten verotuki 16 M€, Biokaasun verotuki lämmityskäytössä 5 M€, Kaivosten ja konesalien alennettu kanta poistuu jo hallituksen esityksessä.","49,18%",
tulo,3,11.08.08.,https://budjetti.vm.fi/indox/sisalto.jsp?year=2026&lang=fi&maindoc=/2026/tae/hallituksenEsitys/hallituksenEsitys.xml&id=/2026/tae/hallituksenEsitys/YksityiskohtaisetPerustelut/11/08/08/08.html,11. VEROT JA VERONLUONTEISET TULOT,08. Haitta- ja valmisteverot,08. Eräiden juomapakkausten valmistevero,08. Eräiden juomapakkausten valmistevero,,15 000 000,15 000 000,0,Tärkeä / Tehokas,Tämä haittavero jää ennalleen.,"0,00%",
tulo,3,11.08.lib.,,11. VEROT JA VERONLUONTEISET TULOT,08. Haitta- ja valmisteverot,lib. Kannabisvero,lib. Kannabisvero,lib,,120 000 000,120 000 000,Tärkeä / Tehokas,"Kannabis tulee laillistaa myös Suomessa. Kannabiksen laillistaminen ulkomailla on luonut alueille uusia verotuloja sekä edistänyt elinkeino- ja yksilönvapautta samalla kuitenkaan johtamatta niihin haittoihin, mitä laillistamisen on pelätty aiheuttavan. Arvio perustuu Saksan kannabisveron tuottoon.","0,00%",
tulo,3,11.08.lib.,,11. VEROT JA VERONLUONTEISET TULOT,08. Haitta- ja valmisteverot,lib. Päästökaupan tulot,lib. Päästökaupan tulot,lib,,503 000 000,503 000 000,Tärkeä / Tehokas,Momentti 12.32.21. sekalaisista tuloista TEM:n alta siirretään selkeästi haittaverojen alle.,"0,00%",
tulo,2,11.10.,https://budjetti.vm.fi/indox/sisalto.jsp?year=2026&lang=fi&maindoc=/2026/tae/hallituksenEsitys/hallituksenEsitys.xml&id=/2026/tae/hallituksenEsitys/YksityiskohtaisetPerustelut/11/10/10.html,11. VEROT JA VERONLUONTEISET TULOT,10. Muut verot,,10. Muut verot,,2 117 000 000,470 000 000,−1 647 000 000,Liikkumavaraa,,"−77,80%",
tulo,3,11.10.03.,https://budjetti.vm.fi/indox/sisalto.jsp?year=2026&lang=fi&maindoc=/2026/tae/hallituksenEsitys/hallituksenEsitys.xml&id=/2026/tae/hallituksenEsitys/YksityiskohtaisetPerustelut/11/10/03/03.html,11. VEROT JA VERONLUONTEISET TULOT,10. Muut verot,03. Autovero,03. Autovero,,270 000 000,0,−270 000 000,Leikataan / Tehoton,Ajoneuvon verotus Ajoneuvon omistamisesta ja hankkimisesta tulee siirtyä liikenteen aiheuttamien kustannusten verottamiseen. Omistamiseen kohdistuva ajoneuvovero sekä Suomeen tuotaviin ajoneuvoihin kohdistettu vero tulee poistaa. Ajoneuvojen verotuksen painopistettä tulee siirtää polttoaineiden verotukseen ja tienkäyttömaksuihin.,"−100,00%",
tulo,3,11.10.05.,https://budjetti.vm.fi/indox/sisalto.jsp?year=2026&lang=fi&maindoc=/2026/tae/hallituksenEsitys/hallituksenEsitys.xml&id=/2026/tae/hallituksenEsitys/YksityiskohtaisetPerustelut/11/10/05/05.html,11. VEROT JA VERONLUONTEISET TULOT,10. Muut verot,05. Varainsiirtovero,05. Varainsiirtovero,,671 000 000,0,−671 000 000,Leikataan / Tehoton,"Varainsiirtovero tulee poistaa. Vero hidastaa muuttoliikettä ja luo transaktioverona asuntomarkkinoille tehottomuutta. Vastaavasti asumisen verotukseen liittyen oman asunnon myyntivoiton verovapaudesta tulee luopua, mikä tuloutuu 11.01.01. momentissa. Samalla myyntitappiosta tulee verovähennyskelpoista.","−100,00%",
tulo,3,11.10.06.,https://budjetti.vm.fi/indox/sisalto.jsp?year=2026&lang=fi&maindoc=/2026/tae/hallituksenEsitys/hallituksenEsitys.xml&id=/2026/tae/hallituksenEsitys/YksityiskohtaisetPerustelut/11/10/06/06.html,11. VEROT JA VERONLUONTEISET TULOT,10. Muut verot,06. Arpajaisvero,06. Arpajaisvero,,144 000 000,454 000 000,310 000 000,Tärkeä / Tehokas,"Veikkaus yksityistetään ja siirrytään lisenssijärjestelmään, minkä johdosta arpajaisveron tuotto kasvaa. Summaan on sisällytetty myös pelien järjestäjiltä kerättävät lisenssimaksut arvioperusteisesti 310 M€.","215,28%",
tulo,3,11.10.07.,https://budjetti.vm.fi/indox/sisalto.jsp?year=2026&lang=fi&maindoc=/2026/tae/hallituksenEsitys/hallituksenEsitys.xml&id=/2026/tae/hallituksenEsitys/YksityiskohtaisetPerustelut/11/10/07/07.html,11. VEROT JA VERONLUONTEISET TULOT,10. Muut verot,07. Ajoneuvovero,07. Ajoneuvovero,,1 016 000 000,0,−1 016 000 000,Leikataan / Tehoton,"Ajoneuvon omistamisesta ja hankkimisesta tulee siirtyä liikenteen aiheuttamien kustannusten verottamiseen. Omistamiseen kohdistuva ajoneuvovero sekä Suomeen tuotaviin ajoneuvoihin kohdistettu vero tulee poistaa. Näillä veroilla on autokantaa vanhentava ja suomalaisten elintasoa laskeva vaikutus. Ajoneuvojen verotuksen painopistettä tulee siirtää polttoaineiden verotukseen ja tienkäyttömaksuihin, eli liikenteen haittojen hinnoitteluun.","−100,00%",
tulo,3,11.10.08.,https://budjetti.vm.fi/indox/sisalto.jsp?year=2026&lang=fi&maindoc=/2026/tae/hallituksenEsitys/hallituksenEsitys.xml&id=/2026/tae/hallituksenEsitys/YksityiskohtaisetPerustelut/11/10/08/08.html,11. VEROT JA VERONLUONTEISET TULOT,10. Muut verot,08. Jätevero,08. Jätevero,,3 000 000,3 000 000,0,Tärkeä / Tehokas,"Jätehuollosta kertyy kustannuksia, joiden kattamiseen hyvä kerätä veroa.","0,00%",
tulo,3,11.10.09.,https://budjetti.vm.fi/indox/sisalto.jsp?year=2026&lang=fi&maindoc=/2026/tae/hallituksenEsitys/hallituksenEsitys.xml&id=/2026/tae/hallituksenEsitys/YksityiskohtaisetPerustelut/11/10/09/09.html,11. VEROT JA VERONLUONTEISET TULOT,10. Muut verot,09. Kaivosmineraalivero,09. Kaivosmineraalivero,,13 000 000,13 000 000,0,Tärkeä / Tehokas,"Kaivoksia voi verottaa fiskaalisin perustein jonkin verran kireämmin kuin muuta yritystoimintaa, koska malmiesiintymää ei voi siirtää veroja pakoon ulkomaille.","0,00%",
tulo,2,11.19.,https://budjetti.vm.fi/indox/sisalto.jsp?year=2026&lang=fi&maindoc=/2026/tae/hallituksenEsitys/hallituksenEsitys.xml&id=/2026/tae/hallituksenEsitys/YksityiskohtaisetPerustelut/11/19/19.html,11. VEROT JA VERONLUONTEISET TULOT,19. Muut veronluonteiset tulot,,19. Muut veronluonteiset tulot,,770 709 000,167 259 100,−603 449 900,Liikkumavaraa,,"−78,30%",
tulo,3,11.19.01.,https://budjetti.vm.fi/indox/sisalto.jsp?year=2026&lang=fi&maindoc=/2026/tae/hallituksenEsitys/hallituksenEsitys.xml&id=/2026/tae/hallituksenEsitys/YksityiskohtaisetPerustelut/11/19/01/01.html,11. VEROT JA VERONLUONTEISET TULOT,19. Muut veronluonteiset tulot,01. Veikkaus Oy:n yksinoikeustoimiluvan korvaus,01. Veikkaus Oy:n yksinoikeustoimiluvan korvaus,lisäys hallituksen esityksessä,620 000 000,0,−620 000 000,Leikataan / Tehoton,Veikkaus yksityistetään ja monopoli puretaan. Kilpailullisen markkinan lisenssimaksut on sisällytetty arpajaisveroon momentille 11.10.06,"−100,00%",
tulo,3,11.19.04.,https://budjetti.vm.fi/indox/sisalto.jsp?year=2026&lang=fi&maindoc=/2026/tae/hallituksenEsitys/hallituksenEsitys.xml&id=/2026/tae/hallituksenEsitys/YksityiskohtaisetPerustelut/11/19/04/04.html,11. VEROT JA VERONLUONTEISET TULOT,19. Muut veronluonteiset tulot,04. Eräät viestinnän maksut,04. Eräät viestinnän maksut,,10 570 000,10 570 000,0,Tärkeä / Tehokas,"Radioasemien toimilupamaksut ja taajuushuutokaupan tuotot, teleoperaatteiden tietoyhteiskuntamaksut, postitoiminnan valvontamaksut.","0,00%",
tulo,3,11.19.05.,https://budjetti.vm.fi/indox/sisalto.jsp?year=2026&lang=fi&maindoc=/2026/tae/hallituksenEsitys/hallituksenEsitys.xml&id=/2026/tae/hallituksenEsitys/YksityiskohtaisetPerustelut/11/19/05/05.html,11. VEROT JA VERONLUONTEISET TULOT,19. Muut veronluonteiset tulot,05. Eräät liikenteen maksut,05. Eräät liikenteen maksut,,26 400 000,26 400 000,0,Tärkeä / Tehokas,"Viranomaistehtävien ja liikenneturvallisuustutkimuksen kustannusten kattamiseksi perittäviä maksuja, jotka säilytetään.","0,00%",
tulo,3,11.19.06.,https://budjetti.vm.fi/indox/sisalto.jsp?year=2026&lang=fi&maindoc=/2026/tae/hallituksenEsitys/hallituksenEsitys.xml&id=/2026/tae/hallituksenEsitys/YksityiskohtaisetPerustelut/11/19/06/06.html,11. VEROT JA VERONLUONTEISET TULOT,19. Muut veronluonteiset tulot,06. Väylämaksut,06. Väylämaksut,,87 600 000,105 000 000,17 400 000,Tärkeä / Tehokas,"Väylämaksuilla katetaan kauppamerenkulun valtiolle aiheuttamia kustannuksia. Hallituksen esityksen mukaiset maksut eivät ole kuitenkaan riittäviä kustannusvastaavuuden saavuttamiseksi. Valtiovarainministeriön mukaan väylänhoidon menot olivat vuosina 2018-2023 90-115 miljoonaa vuodesta riippuen, joten liberaalipuolue ehdottaa maksujen korottamista vastaamaan kustannusten keskimääräistä tasoa.","19,86%",
tulo,3,11.19.09.,https://budjetti.vm.fi/indox/sisalto.jsp?year=2026&lang=fi&maindoc=/2026/tae/hallituksenEsitys/hallituksenEsitys.xml&id=/2026/tae/hallituksenEsitys/YksityiskohtaisetPerustelut/11/19/09/09.html,11. VEROT JA VERONLUONTEISET TULOT,19. Muut veronluonteiset tulot,09. Muut verotulot,09. Muut verotulot,,5 410 000,5 410 000,0,Tärkeä / Tehokas,Momentti sisältää häntiä ennen vuotta 2014 voimassa olleista veroperusteista ja maksuista sekä jonkin verran kustannusperusteisia valvontamaksuja. Säilytetään sellaisenaan.,"0,00%",
tulo,3,11.19.10.,https://budjetti.vm.fi/indox/sisalto.jsp?year=2026&lang=fi&maindoc=/2026/tae/hallituksenEsitys/hallituksenEsitys.xml&id=/2026/tae/hallituksenEsitys/YksityiskohtaisetPerustelut/11/19/10/10.html,11. VEROT JA VERONLUONTEISET TULOT,19. Muut veronluonteiset tulot,10. Sähkö- ja maakaasuverkkomaksut ja Perämeren tuulivoima-alueella perittävä tuulivoimamaksu,10. Sähkö- ja maakaasuverkkomaksut ja Perämeren tuulivoima-alueella perittävä tuulivoimamaksu,,5 450 000,5 450 000,0,Tärkeä / Tehokas,Energiaverkon rakentaminen kuuluu hinnoitella voimalaitosprojekteihin.,"0,00%",
tulo,3,11.19.11.,https://budjetti.vm.fi/indox/sisalto.jsp?year=2026&lang=fi&maindoc=/2026/tae/hallituksenEsitys/hallituksenEsitys.xml&id=/2026/tae/hallituksenEsitys/YksityiskohtaisetPerustelut/11/19/11/11.html,11. VEROT JA VERONLUONTEISET TULOT,19. Muut veronluonteiset tulot,11. Rahoitusvakausviraston hallintomaksut,11. Rahoitusvakausviraston hallintomaksut,,8 656 000,8 656 000,0,Tärkeä / Tehokas,Pankkien konkurssien varalta oleva virasto. Suojelee kuluttajien ja kansalaisten turvaa. Tuloina luottolaitoksilta ja sijoituspalveluyrityksiltä perittävät hallintomaksut.,"0,00%",
tulo,3,11.19.12.,https://budjetti.vm.fi/indox/sisalto.jsp?year=2026&lang=fi&maindoc=/2026/tae/hallituksenEsitys/hallituksenEsitys.xml&id=/2026/tae/hallituksenEsitys/YksityiskohtaisetPerustelut/11/19/12/12.html,11. VEROT JA VERONLUONTEISET TULOT,19. Muut veronluonteiset tulot,12. Säteilytoimintavero,12. Säteilytoimintavero,,2 833 000,1 983 100,−849 900,Liikkumavaraa,"Säteilytoiminnan säätelyä kevennetään, jolloin valvontamaksutkin vähenevät.","−30,00%",
