year,fiscal_side,momentti_tunnusp,momentti_snimi,hallinnonala,actual_eur,has_structural_guardrail,structural_relation_types,source_rows,observed_months,data_as_of,is_complete_year,coverage_status
2007,expense,24.99.22.,Suomalaisten kriisinhallintajoukkojen ylläpitomenot,Puolustusministeriön hallinnonala,55713815.53,true,rename|rename|rename|rename|rename|rename|rename|rename|rename|rename|rename|rename|rename|rename|rename|rename|rename|rename|rename|rename|rename|rename|rename,1272,12,2007-12-01,true,complete
2007,expense,24.99.25.,Siviilihenkilöstön osallistuminen kriisinhallintaan,Sisäasiainministeriön hallinnonala,8462234.33,true,rename|rename|rename|rename,300,12,2007-12-01,true,complete
2007,expense,24.99.26.,Etyj-puheenjohtajuus,Ulkoministeriön hallinnonala,776419.91,false,,213,12,2007-12-01,true,complete
2007,expense,24.99.50.,Eräät valtionavut,Ulkoministeriön hallinnonala,1512679,false,,37,12,2007-12-01,true,complete
2007,expense,24.99.51.,Hädänalaisten avustaminen,Ulkoministeriön hallinnonala,16253.94,false,,13,12,2007-12-01,true,complete
2007,expense,24.99.66.,Eräät jäsenmaksut ja rahoitusosuudet,Ulkoministeriön hallinnonala,88537344.59,false,,14,12,2007-12-01,true,complete
2007,expense,24.99.67.,Kansainvälisen ilmastosopimuksen alaisen yhteistyön menot,Ulkoministeriön hallinnonala,1000000,false,,11,12,2007-12-01,true,complete
2007,expense,24.99.95.,Kurssivaihtelut,Ulkoministeriön hallinnonala,331423.47,false,,21,12,2007-12-01,true,complete
2007,expense,25.01.21.,Oikeusministeriön toimintamenot,Oikeusministeriön hallinnonala,23089386.66,false,,687,12,2007-12-01,true,complete
2007,expense,25.01.22.,Eräiden virastojen toimintamenot,Oikeusministeriön hallinnonala,21194340.61,false,,815,12,2007-12-01,true,complete
2007,expense,25.01.27.,Erityismenot,Oikeusministeriön hallinnonala,1092993.81,true,rename|rename|rename,223,12,2007-12-01,true,complete
2007,expense,25.01.29.,Oikeusministeriön hallinnonalan arvonlisäveromenot,Oikeusministeriön hallinnonala,42846962.22,true,rename|rename|rename|rename|rename,110,12,2007-12-01,true,complete
2007,expense,25.01.51.,Eräät valtion maksamat korvaukset ja avustukset,Oikeusministeriön hallinnonala,12829318.17,true,rename|rename|rename|rename,45,12,2007-12-01,true,complete
2007,expense,25.10.21.,Korkeimman oikeuden toimintamenot,Oikeusministeriön hallinnonala,7108293.09,false,,466,12,2007-12-01,true,complete
2007,expense,25.10.22.,Korkeimman hallinto-oikeuden toimintamenot,Oikeusministeriön hallinnonala,8792298.57,false,,471,12,2007-12-01,true,complete
2007,expense,25.10.23.,Muiden tuomioistuinten toimintamenot,Oikeusministeriön hallinnonala,209720766.35,false,,865,12,2007-12-01,true,complete
2007,expense,25.10.27.,Erityismenot,Oikeusministeriön hallinnonala,6492381.75,true,moved|rename,166,12,2007-12-01,true,complete
2007,expense,25.30.21.,Oikeusaputoimistojen ja kuluttajariitalautakunnan toimintamenot,Oikeusministeriön hallinnonala,23158063.38,false,,891,12,2007-12-01,true,complete
2007,expense,25.30.50.,Yksityisille oikeusavustajille maksettavat korvaukset,Oikeusministeriön hallinnonala,35606761.56,true,moved|moved|moved|moved|moved,106,12,2007-12-01,true,complete
2007,expense,25.40.21.,Ulosottolaitoksen ja konkurssivalvonnan toimintamenot,Oikeusministeriön hallinnonala,82712143.86,false,,696,12,2007-12-01,true,complete
2007,expense,25.50.21.,Rangaistusten täytäntöönpanon toimintamenot,Oikeusministeriön hallinnonala,204161140.82,false,,1273,12,2007-12-01,true,complete
2007,expense,25.50.74.,Avolaitostyöt,Oikeusministeriön hallinnonala,5537490.87,false,,764,12,2007-12-01,true,complete
2007,expense,25.60.21.,Syyttäjälaitoksen toimintamenot,Oikeusministeriön hallinnonala,32076738.88,false,,595,12,2007-12-01,true,complete
