source_id,institution,year,gdp_volume_change_pct,is_national_official,is_beyond_national_actual,vintage_label,vintage_date,source_url,fetched_at
imf_world_economic_outlook,IMF,2000,5.8,False,False,"World Economic Outlook, DataMapper NGDP_RPCH",2026-08-22,https://www.imf.org/external/datamapper/api/v1/NGDP_RPCH/FIN,2026-08-22T20:22:38Z
imf_world_economic_outlook,IMF,2001,2.6,False,False,"World Economic Outlook, DataMapper NGDP_RPCH",2026-08-22,https://www.imf.org/external/datamapper/api/v1/NGDP_RPCH/FIN,2026-08-22T20:22:38Z
imf_world_economic_outlook,IMF,2002,1.7,False,False,"World Economic Outlook, DataMapper NGDP_RPCH",2026-08-22,https://www.imf.org/external/datamapper/api/v1/NGDP_RPCH/FIN,2026-08-22T20:22:38Z
imf_world_economic_outlook,IMF,2003,2.0,False,False,"World Economic Outlook, DataMapper NGDP_RPCH",2026-08-22,https://www.imf.org/external/datamapper/api/v1/NGDP_RPCH/FIN,2026-08-22T20:22:38Z
imf_world_economic_outlook,IMF,2004,4.0,False,False,"World Economic Outlook, DataMapper NGDP_RPCH",2026-08-22,https://www.imf.org/external/datamapper/api/v1/NGDP_RPCH/FIN,2026-08-22T20:22:38Z
imf_world_economic_outlook,IMF,2005,2.8,False,False,"World Economic Outlook, DataMapper NGDP_RPCH",2026-08-22,https://www.imf.org/external/datamapper/api/v1/NGDP_RPCH/FIN,2026-08-22T20:22:38Z
imf_world_economic_outlook,IMF,2006,4.0,False,False,"World Economic Outlook, DataMapper NGDP_RPCH",2026-08-22,https://www.imf.org/external/datamapper/api/v1/NGDP_RPCH/FIN,2026-08-22T20:22:38Z
imf_world_economic_outlook,IMF,2007,5.3,False,False,"World Economic Outlook, DataMapper NGDP_RPCH",2026-08-22,https://www.imf.org/external/datamapper/api/v1/NGDP_RPCH/FIN,2026-08-22T20:22:38Z
imf_world_economic_outlook,IMF,2008,0.8,False,False,"World Economic Outlook, DataMapper NGDP_RPCH",2026-08-22,https://www.imf.org/external/datamapper/api/v1/NGDP_RPCH/FIN,2026-08-22T20:22:38Z
imf_world_economic_outlook,IMF,2009,-8.1,False,False,"World Economic Outlook, DataMapper NGDP_RPCH",2026-08-22,https://www.imf.org/external/datamapper/api/v1/NGDP_RPCH/FIN,2026-08-22T20:22:38Z
imf_world_economic_outlook,IMF,2010,3.2,False,False,"World Economic Outlook, DataMapper NGDP_RPCH",2026-08-22,https://www.imf.org/external/datamapper/api/v1/NGDP_RPCH/FIN,2026-08-22T20:22:38Z
imf_world_economic_outlook,IMF,2011,2.4,False,False,"World Economic Outlook, DataMapper NGDP_RPCH",2026-08-22,https://www.imf.org/external/datamapper/api/v1/NGDP_RPCH/FIN,2026-08-22T20:22:38Z
imf_world_economic_outlook,IMF,2012,-1.5,False,False,"World Economic Outlook, DataMapper NGDP_RPCH",2026-08-22,https://www.imf.org/external/datamapper/api/v1/NGDP_RPCH/FIN,2026-08-22T20:22:38Z
imf_world_economic_outlook,IMF,2013,-1.0,False,False,"World Economic Outlook, DataMapper NGDP_RPCH",2026-08-22,https://www.imf.org/external/datamapper/api/v1/NGDP_RPCH/FIN,2026-08-22T20:22:38Z
imf_world_economic_outlook,IMF,2014,-0.5,False,False,"World Economic Outlook, DataMapper NGDP_RPCH",2026-08-22,https://www.imf.org/external/datamapper/api/v1/NGDP_RPCH/FIN,2026-08-22T20:22:38Z
imf_world_economic_outlook,IMF,2015,0.5,False,False,"World Economic Outlook, DataMapper NGDP_RPCH",2026-08-22,https://www.imf.org/external/datamapper/api/v1/NGDP_RPCH/FIN,2026-08-22T20:22:38Z
imf_world_economic_outlook,IMF,2016,2.6,False,False,"World Economic Outlook, DataMapper NGDP_RPCH",2026-08-22,https://www.imf.org/external/datamapper/api/v1/NGDP_RPCH/FIN,2026-08-22T20:22:38Z
imf_world_economic_outlook,IMF,2017,3.3,False,False,"World Economic Outlook, DataMapper NGDP_RPCH",2026-08-22,https://www.imf.org/external/datamapper/api/v1/NGDP_RPCH/FIN,2026-08-22T20:22:38Z
imf_world_economic_outlook,IMF,2018,1.2,False,False,"World Economic Outlook, DataMapper NGDP_RPCH",2026-08-22,https://www.imf.org/external/datamapper/api/v1/NGDP_RPCH/FIN,2026-08-22T20:22:38Z
imf_world_economic_outlook,IMF,2019,1.3,False,False,"World Economic Outlook, DataMapper NGDP_RPCH",2026-08-22,https://www.imf.org/external/datamapper/api/v1/NGDP_RPCH/FIN,2026-08-22T20:22:38Z
imf_world_economic_outlook,IMF,2020,-2.5,False,False,"World Economic Outlook, DataMapper NGDP_RPCH",2026-08-22,https://www.imf.org/external/datamapper/api/v1/NGDP_RPCH/FIN,2026-08-22T20:22:38Z
imf_world_economic_outlook,IMF,2021,2.7,False,False,"World Economic Outlook, DataMapper NGDP_RPCH",2026-08-22,https://www.imf.org/external/datamapper/api/v1/NGDP_RPCH/FIN,2026-08-22T20:22:38Z
imf_world_economic_outlook,IMF,2022,0.8,False,False,"World Economic Outlook, DataMapper NGDP_RPCH",2026-08-22,https://www.imf.org/external/datamapper/api/v1/NGDP_RPCH/FIN,2026-08-22T20:22:38Z
imf_world_economic_outlook,IMF,2023,-1.3,False,False,"World Economic Outlook, DataMapper NGDP_RPCH",2026-08-22,https://www.imf.org/external/datamapper/api/v1/NGDP_RPCH/FIN,2026-08-22T20:22:38Z
imf_world_economic_outlook,IMF,2024,0.4,False,False,"World Economic Outlook, DataMapper NGDP_RPCH",2026-08-22,https://www.imf.org/external/datamapper/api/v1/NGDP_RPCH/FIN,2026-08-22T20:22:38Z
imf_world_economic_outlook,IMF,2025,0.2,False,False,"World Economic Outlook, DataMapper NGDP_RPCH",2026-08-22,https://www.imf.org/external/datamapper/api/v1/NGDP_RPCH/FIN,2026-08-22T20:22:38Z
imf_world_economic_outlook,IMF,2026,1.0,False,True,"World Economic Outlook, DataMapper NGDP_RPCH",2026-08-22,https://www.imf.org/external/datamapper/api/v1/NGDP_RPCH/FIN,2026-08-22T20:22:38Z
