series_id,year,period,value,unit,period_basis,source_id,source_url,source_table_title
central_government_edp_debt_q4_meur,2000,2000Q4,68665.0,MEUR,fourth_quarter_end_stock,statfin_central_government_edp_debt_11yv,https://pxdata.stat.fi/PxWeb/api/v1/fi/StatFin/jyev/11yv.px,"Julkisyhteisöjen EDP-velka, neljännesvuosittain muuttujina Velallissektori, Vara, Vuosineljännes ja Tiedot"
central_government_edp_debt_q4_meur,2001,2001Q4,66215.0,MEUR,fourth_quarter_end_stock,statfin_central_government_edp_debt_11yv,https://pxdata.stat.fi/PxWeb/api/v1/fi/StatFin/jyev/11yv.px,"Julkisyhteisöjen EDP-velka, neljännesvuosittain muuttujina Velallissektori, Vara, Vuosineljännes ja Tiedot"
central_government_edp_debt_q4_meur,2002,2002Q4,63531.0,MEUR,fourth_quarter_end_stock,statfin_central_government_edp_debt_11yv,https://pxdata.stat.fi/PxWeb/api/v1/fi/StatFin/jyev/11yv.px,"Julkisyhteisöjen EDP-velka, neljännesvuosittain muuttujina Velallissektori, Vara, Vuosineljännes ja Tiedot"
central_government_edp_debt_q4_meur,2003,2003Q4,67517.0,MEUR,fourth_quarter_end_stock,statfin_central_government_edp_debt_11yv,https://pxdata.stat.fi/PxWeb/api/v1/fi/StatFin/jyev/11yv.px,"Julkisyhteisöjen EDP-velka, neljännesvuosittain muuttujina Velallissektori, Vara, Vuosineljännes ja Tiedot"
central_government_edp_debt_q4_meur,2004,2004Q4,67905.0,MEUR,fourth_quarter_end_stock,statfin_central_government_edp_debt_11yv,https://pxdata.stat.fi/PxWeb/api/v1/fi/StatFin/jyev/11yv.px,"Julkisyhteisöjen EDP-velka, neljännesvuosittain muuttujina Velallissektori, Vara, Vuosineljännes ja Tiedot"
central_government_edp_debt_q4_meur,2005,2005Q4,64530.0,MEUR,fourth_quarter_end_stock,statfin_central_government_edp_debt_11yv,https://pxdata.stat.fi/PxWeb/api/v1/fi/StatFin/jyev/11yv.px,"Julkisyhteisöjen EDP-velka, neljännesvuosittain muuttujina Velallissektori, Vara, Vuosineljännes ja Tiedot"
central_government_edp_debt_q4_meur,2006,2006Q4,63143.0,MEUR,fourth_quarter_end_stock,statfin_central_government_edp_debt_11yv,https://pxdata.stat.fi/PxWeb/api/v1/fi/StatFin/jyev/11yv.px,"Julkisyhteisöjen EDP-velka, neljännesvuosittain muuttujina Velallissektori, Vara, Vuosineljännes ja Tiedot"
central_government_edp_debt_q4_meur,2007,2007Q4,60711.0,MEUR,fourth_quarter_end_stock,statfin_central_government_edp_debt_11yv,https://pxdata.stat.fi/PxWeb/api/v1/fi/StatFin/jyev/11yv.px,"Julkisyhteisöjen EDP-velka, neljännesvuosittain muuttujina Velallissektori, Vara, Vuosineljännes ja Tiedot"
central_government_edp_debt_q4_meur,2008,2008Q4,60170.0,MEUR,fourth_quarter_end_stock,statfin_central_government_edp_debt_11yv,https://pxdata.stat.fi/PxWeb/api/v1/fi/StatFin/jyev/11yv.px,"Julkisyhteisöjen EDP-velka, neljännesvuosittain muuttujina Velallissektori, Vara, Vuosineljännes ja Tiedot"
central_government_edp_debt_q4_meur,2009,2009Q4,70887.0,MEUR,fourth_quarter_end_stock,statfin_central_government_edp_debt_11yv,https://pxdata.stat.fi/PxWeb/api/v1/fi/StatFin/jyev/11yv.px,"Julkisyhteisöjen EDP-velka, neljännesvuosittain muuttujina Velallissektori, Vara, Vuosineljännes ja Tiedot"
central_government_edp_debt_q4_meur,2010,2010Q4,83682.0,MEUR,fourth_quarter_end_stock,statfin_central_government_edp_debt_11yv,https://pxdata.stat.fi/PxWeb/api/v1/fi/StatFin/jyev/11yv.px,"Julkisyhteisöjen EDP-velka, neljännesvuosittain muuttujina Velallissektori, Vara, Vuosineljännes ja Tiedot"
central_government_edp_debt_q4_meur,2011,2011Q4,92490.0,MEUR,fourth_quarter_end_stock,statfin_central_government_edp_debt_11yv,https://pxdata.stat.fi/PxWeb/api/v1/fi/StatFin/jyev/11yv.px,"Julkisyhteisöjen EDP-velka, neljännesvuosittain muuttujina Velallissektori, Vara, Vuosineljännes ja Tiedot"
central_government_edp_debt_q4_meur,2012,2012Q4,100968.0,MEUR,fourth_quarter_end_stock,statfin_central_government_edp_debt_11yv,https://pxdata.stat.fi/PxWeb/api/v1/fi/StatFin/jyev/11yv.px,"Julkisyhteisöjen EDP-velka, neljännesvuosittain muuttujina Velallissektori, Vara, Vuosineljännes ja Tiedot"
central_government_edp_debt_q4_meur,2013,2013Q4,106631.0,MEUR,fourth_quarter_end_stock,statfin_central_government_edp_debt_11yv,https://pxdata.stat.fi/PxWeb/api/v1/fi/StatFin/jyev/11yv.px,"Julkisyhteisöjen EDP-velka, neljännesvuosittain muuttujina Velallissektori, Vara, Vuosineljännes ja Tiedot"
central_government_edp_debt_q4_meur,2014,2014Q4,113287.0,MEUR,fourth_quarter_end_stock,statfin_central_government_edp_debt_11yv,https://pxdata.stat.fi/PxWeb/api/v1/fi/StatFin/jyev/11yv.px,"Julkisyhteisöjen EDP-velka, neljännesvuosittain muuttujina Velallissektori, Vara, Vuosineljännes ja Tiedot"
central_government_edp_debt_q4_meur,2015,2015Q4,120675.0,MEUR,fourth_quarter_end_stock,statfin_central_government_edp_debt_11yv,https://pxdata.stat.fi/PxWeb/api/v1/fi/StatFin/jyev/11yv.px,"Julkisyhteisöjen EDP-velka, neljännesvuosittain muuttujina Velallissektori, Vara, Vuosineljännes ja Tiedot"
central_government_edp_debt_q4_meur,2016,2016Q4,123449.0,MEUR,fourth_quarter_end_stock,statfin_central_government_edp_debt_11yv,https://pxdata.stat.fi/PxWeb/api/v1/fi/StatFin/jyev/11yv.px,"Julkisyhteisöjen EDP-velka, neljännesvuosittain muuttujina Velallissektori, Vara, Vuosineljännes ja Tiedot"
central_government_edp_debt_q4_meur,2017,2017Q4,124864.0,MEUR,fourth_quarter_end_stock,statfin_central_government_edp_debt_11yv,https://pxdata.stat.fi/PxWeb/api/v1/fi/StatFin/jyev/11yv.px,"Julkisyhteisöjen EDP-velka, neljännesvuosittain muuttujina Velallissektori, Vara, Vuosineljännes ja Tiedot"
central_government_edp_debt_q4_meur,2018,2018Q4,124025.0,MEUR,fourth_quarter_end_stock,statfin_central_government_edp_debt_11yv,https://pxdata.stat.fi/PxWeb/api/v1/fi/StatFin/jyev/11yv.px,"Julkisyhteisöjen EDP-velka, neljännesvuosittain muuttujina Velallissektori, Vara, Vuosineljännes ja Tiedot"
central_government_edp_debt_q4_meur,2019,2019Q4,126081.0,MEUR,fourth_quarter_end_stock,statfin_central_government_edp_debt_11yv,https://pxdata.stat.fi/PxWeb/api/v1/fi/StatFin/jyev/11yv.px,"Julkisyhteisöjen EDP-velka, neljännesvuosittain muuttujina Velallissektori, Vara, Vuosineljännes ja Tiedot"
central_government_edp_debt_q4_meur,2020,2020Q4,144232.0,MEUR,fourth_quarter_end_stock,statfin_central_government_edp_debt_11yv,https://pxdata.stat.fi/PxWeb/api/v1/fi/StatFin/jyev/11yv.px,"Julkisyhteisöjen EDP-velka, neljännesvuosittain muuttujina Velallissektori, Vara, Vuosineljännes ja Tiedot"
central_government_edp_debt_q4_meur,2021,2021Q4,148248.0,MEUR,fourth_quarter_end_stock,statfin_central_government_edp_debt_11yv,https://pxdata.stat.fi/PxWeb/api/v1/fi/StatFin/jyev/11yv.px,"Julkisyhteisöjen EDP-velka, neljännesvuosittain muuttujina Velallissektori, Vara, Vuosineljännes ja Tiedot"
central_government_edp_debt_q4_meur,2022,2022Q4,160668.0,MEUR,fourth_quarter_end_stock,statfin_central_government_edp_debt_11yv,https://pxdata.stat.fi/PxWeb/api/v1/fi/StatFin/jyev/11yv.px,"Julkisyhteisöjen EDP-velka, neljännesvuosittain muuttujina Velallissektori, Vara, Vuosineljännes ja Tiedot"
central_government_edp_debt_q4_meur,2023,2023Q4,175054.0,MEUR,fourth_quarter_end_stock,statfin_central_government_edp_debt_11yv,https://pxdata.stat.fi/PxWeb/api/v1/fi/StatFin/jyev/11yv.px,"Julkisyhteisöjen EDP-velka, neljännesvuosittain muuttujina Velallissektori, Vara, Vuosineljännes ja Tiedot"
