metric_id,metric_name_fi,theme,year,value,unit,status,is_latest_available,source_id,source_url,source_updated
healthy_life_years,Terveet elinvuodet syntymähetkellä,outcome,2019,56.4,YEARS,,false,eurostat_hlth_hlye,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/hlth_hlye?geo=FI&sex=T&unit=YR&hlth_hle=HLY_Y0,2026-07-17T23:00:00+0200
healthy_life_years,Terveet elinvuodet syntymähetkellä,outcome,2020,56.9,YEARS,,false,eurostat_hlth_hlye,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/hlth_hlye?geo=FI&sex=T&unit=YR&hlth_hle=HLY_Y0,2026-07-17T23:00:00+0200
healthy_life_years,Terveet elinvuodet syntymähetkellä,outcome,2021,61.7,YEARS,,false,eurostat_hlth_hlye,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/hlth_hlye?geo=FI&sex=T&unit=YR&hlth_hle=HLY_Y0,2026-07-17T23:00:00+0200
healthy_life_years,Terveet elinvuodet syntymähetkellä,outcome,2022,57.9,YEARS,,false,eurostat_hlth_hlye,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/hlth_hlye?geo=FI&sex=T&unit=YR&hlth_hle=HLY_Y0,2026-07-17T23:00:00+0200
healthy_life_years,Terveet elinvuodet syntymähetkellä,outcome,2023,57.1,YEARS,,false,eurostat_hlth_hlye,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/hlth_hlye?geo=FI&sex=T&unit=YR&hlth_hle=HLY_Y0,2026-07-17T23:00:00+0200
healthy_life_years,Terveet elinvuodet syntymähetkellä,outcome,2024,57.3,YEARS,,true,eurostat_hlth_hlye,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/hlth_hlye?geo=FI&sex=T&unit=YR&hlth_hle=HLY_Y0,2026-07-17T23:00:00+0200
life_expectancy_years,Elinajanodote syntymähetkellä,outcome,2008,79.9,YEARS,,false,eurostat_demo_mlexpec,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/demo_mlexpec?geo=FI&sex=T&age=Y_LT1,2026-06-04T23:00:00+0200
life_expectancy_years,Elinajanodote syntymähetkellä,outcome,2009,80.1,YEARS,,false,eurostat_demo_mlexpec,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/demo_mlexpec?geo=FI&sex=T&age=Y_LT1,2026-06-04T23:00:00+0200
life_expectancy_years,Elinajanodote syntymähetkellä,outcome,2010,80.2,YEARS,,false,eurostat_demo_mlexpec,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/demo_mlexpec?geo=FI&sex=T&age=Y_LT1,2026-06-04T23:00:00+0200
life_expectancy_years,Elinajanodote syntymähetkellä,outcome,2011,80.6,YEARS,,false,eurostat_demo_mlexpec,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/demo_mlexpec?geo=FI&sex=T&age=Y_LT1,2026-06-04T23:00:00+0200
life_expectancy_years,Elinajanodote syntymähetkellä,outcome,2012,80.7,YEARS,,false,eurostat_demo_mlexpec,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/demo_mlexpec?geo=FI&sex=T&age=Y_LT1,2026-06-04T23:00:00+0200
life_expectancy_years,Elinajanodote syntymähetkellä,outcome,2013,81.1,YEARS,,false,eurostat_demo_mlexpec,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/demo_mlexpec?geo=FI&sex=T&age=Y_LT1,2026-06-04T23:00:00+0200
life_expectancy_years,Elinajanodote syntymähetkellä,outcome,2014,81.1,YEARS,b,false,eurostat_demo_mlexpec,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/demo_mlexpec?geo=FI&sex=T&age=Y_LT1,2026-06-04T23:00:00+0200
life_expectancy_years,Elinajanodote syntymähetkellä,outcome,2015,81.4,YEARS,,false,eurostat_demo_mlexpec,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/demo_mlexpec?geo=FI&sex=T&age=Y_LT1,2026-06-04T23:00:00+0200
life_expectancy_years,Elinajanodote syntymähetkellä,outcome,2016,81.3,YEARS,,false,eurostat_demo_mlexpec,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/demo_mlexpec?geo=FI&sex=T&age=Y_LT1,2026-06-04T23:00:00+0200
life_expectancy_years,Elinajanodote syntymähetkellä,outcome,2017,81.5,YEARS,,false,eurostat_demo_mlexpec,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/demo_mlexpec?geo=FI&sex=T&age=Y_LT1,2026-06-04T23:00:00+0200
life_expectancy_years,Elinajanodote syntymähetkellä,outcome,2018,81.6,YEARS,,false,eurostat_demo_mlexpec,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/demo_mlexpec?geo=FI&sex=T&age=Y_LT1,2026-06-04T23:00:00+0200
life_expectancy_years,Elinajanodote syntymähetkellä,outcome,2019,81.9,YEARS,,false,eurostat_demo_mlexpec,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/demo_mlexpec?geo=FI&sex=T&age=Y_LT1,2026-06-04T23:00:00+0200
life_expectancy_years,Elinajanodote syntymähetkellä,outcome,2020,81.8,YEARS,,false,eurostat_demo_mlexpec,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/demo_mlexpec?geo=FI&sex=T&age=Y_LT1,2026-06-04T23:00:00+0200
life_expectancy_years,Elinajanodote syntymähetkellä,outcome,2021,81.8,YEARS,,false,eurostat_demo_mlexpec,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/demo_mlexpec?geo=FI&sex=T&age=Y_LT1,2026-06-04T23:00:00+0200
life_expectancy_years,Elinajanodote syntymähetkellä,outcome,2022,81.2,YEARS,,false,eurostat_demo_mlexpec,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/demo_mlexpec?geo=FI&sex=T&age=Y_LT1,2026-06-04T23:00:00+0200
life_expectancy_years,Elinajanodote syntymähetkellä,outcome,2023,81.6,YEARS,,false,eurostat_demo_mlexpec,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/demo_mlexpec?geo=FI&sex=T&age=Y_LT1,2026-06-04T23:00:00+0200
life_expectancy_years,Elinajanodote syntymähetkellä,outcome,2024,82.2,YEARS,,true,eurostat_demo_mlexpec,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/demo_mlexpec?geo=FI&sex=T&age=Y_LT1,2026-06-04T23:00:00+0200
population_65plus_pct,65 vuotta täyttäneiden osuus väestöstä,demand,2008,16.5,PERCENT,,false,eurostat_demo_pjanind,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/demo_pjanind?geo=FI&indic_de=PC_Y65_MAX,2026-08-14T23:00:00+0200
population_65plus_pct,65 vuotta täyttäneiden osuus väestöstä,demand,2009,16.7,PERCENT,,false,eurostat_demo_pjanind,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/demo_pjanind?geo=FI&indic_de=PC_Y65_MAX,2026-08-14T23:00:00+0200
population_65plus_pct,65 vuotta täyttäneiden osuus väestöstä,demand,2010,17.0,PERCENT,,false,eurostat_demo_pjanind,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/demo_pjanind?geo=FI&indic_de=PC_Y65_MAX,2026-08-14T23:00:00+0200
population_65plus_pct,65 vuotta täyttäneiden osuus väestöstä,demand,2011,17.5,PERCENT,,false,eurostat_demo_pjanind,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/demo_pjanind?geo=FI&indic_de=PC_Y65_MAX,2026-08-14T23:00:00+0200
population_65plus_pct,65 vuotta täyttäneiden osuus väestöstä,demand,2012,18.1,PERCENT,,false,eurostat_demo_pjanind,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/demo_pjanind?geo=FI&indic_de=PC_Y65_MAX,2026-08-14T23:00:00+0200
population_65plus_pct,65 vuotta täyttäneiden osuus väestöstä,demand,2013,18.8,PERCENT,,false,eurostat_demo_pjanind,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/demo_pjanind?geo=FI&indic_de=PC_Y65_MAX,2026-08-14T23:00:00+0200
population_65plus_pct,65 vuotta täyttäneiden osuus väestöstä,demand,2014,19.4,PERCENT,,false,eurostat_demo_pjanind,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/demo_pjanind?geo=FI&indic_de=PC_Y65_MAX,2026-08-14T23:00:00+0200
population_65plus_pct,65 vuotta täyttäneiden osuus väestöstä,demand,2015,19.9,PERCENT,,false,eurostat_demo_pjanind,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/demo_pjanind?geo=FI&indic_de=PC_Y65_MAX,2026-08-14T23:00:00+0200
